,Corruption,FP,T5D
0,brightness,0.029317999999997558,1.0097273333332961
1,gaussian_noise,0.16044000000000277,4.4929120000000315
2,motion_blur,0.059535333333334765,1.66222533333331
3,rotate,0.07654800000000193,2.3969493333332847
4,scale,0.1383506666666709,3.491879999999979
5,shot_noise,0.20092666666666312,5.19674000000001
6,snow,0.07590133333333478,1.9985853333332928
7,tilt,0.04780533333333369,1.6253293333332945
8,translate,0.05402300000000131,1.907698999999991
9,zoom_blur,0.0501440000000064,1.3687179999999717
